timestamp,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,WD10M,PS,PRECTOTCORR,solar_zenith,solar_azimuth,poa_global,cell_temperature,dc_power_w,ac_power_w,PV_Power_kW
2020-05-29 10:00:00+00:00,766.58,267.09,522.79,38.77,23.91,6.65,134.5,98.09,0.0,43.548115339885506,272.180730258267,671.048150646835,48.29030404118315,3042.6624441374056,2518.6594555834545,2.5186594555834545
2020-05-29 11:00:00+00:00,787.83,234.86,497.65,39.97,21.79,5.96,136.3,97.99,0.0,56.64025064560554,278.3859985198093,580.6516792945988,48.79900203287087,2626.8797865545534,2174.06042327719,2.1740604232771896
2020-05-29 12:00:00+00:00,728.47,277.46,440.62,40.73,20.38,5.27,138.5,97.88,0.0,69.52392661491416,284.2897904629026,481.0696145731138,48.61034122301437,2178.1837178236647,1801.106223120551,1.801106223120551
2020-05-29 13:00:00+00:00,733.95,337.25,465.84,40.97,19.6,4.81,136.0,97.78,0.0,82.0176940500512,290.51336987034057,449.31498010635005,48.73013602853089,2033.3287885801435,1680.4647911284853,1.6804647911284853
2020-05-29 14:00:00+00:00,569.2,260.37,393.82,41.19,19.02,4.55,128.3,97.69,0.0,94.1487578397858,297.55814201080614,379.09948927793863,47.94491766647551,1721.5293150119887,1420.3895258595671,1.4203895258595671
2020-05-29 15:00:00+00:00,337.2,60.64,249.76,40.94,19.08,4.37,122.1,97.65,0.0,105.34632137155998,305.97283830338233,240.076254357219,45.313706602148606,1102.844499922988,902.7400188540256,0.9027400188540257
2020-05-29 16:00:00+00:00,198.05,31.45,166.75,40.16,19.83,4.28,116.3,97.64,0.0,115.26599102861388,316.4130816723905,159.88853420889922,43.10588567538948,741.5442006206575,599.4596499847754,0.5994596499847754
2020-05-29 17:00:00+00:00,87.18,7.08,75.18,38.9,21.28,4.55,107.0,97.67,0.0,123.21643667168054,329.5410418448927,72.05557862238692,40.18390967218536,338.39618516834713,260.1963089150132,0.2601963089150132
2020-05-29 18:00:00+00:00,6.8,0.0,7.0,36.47,25.31,3.99,95.9,97.72,0.0,128.26926195705374,345.55734858208655,6.689811121076157,36.59793280605444,31.897296008032043,1.6629007037655934,0.0016629007037655935
2020-05-29 19:00:00+00:00,0.0,0.0,0.0,35.22,27.59,5.43,91.2,97.77,0.01,129.53964251120186,3.4036204041602787,0.0,35.22,0.0,0.0,0.0
2020-05-29 20:00:00+00:00,0.0,0.0,0.0,34.46,29.93,5.92,88.7,97.85,0.09,126.75477950560962,20.779436911534845,0.0,34.46,0.0,0.0,0.0
2020-05-29 21:00:00+00:00,0.0,0.0,0.0,33.31,33.88,5.84,80.1,97.92,0.05,120.4842485229069,35.73613810687948,0.0,33.31,0.0,0.0,0.0
2020-05-29 22:00:00+00:00,0.0,0.0,0.0,32.09,38.67,6.35,71.1,97.96,0.02,111.68776823662148,47.774401478607956,0.0,32.09,0.0,0.0,0.0
2020-05-29 23:00:00+00:00,0.0,0.0,0.0,31.15,42.55,6.97,69.1,97.99,1.65,101.21650760716633,57.356361718501944,0.0,31.15,0.0,0.0,0.0
2020-05-30 00:00:00+00:00,0.0,0.0,0.0,30.37,45.77,7.08,74.7,97.99,19.21,89.23937879632366,65.17072257966959,0.0,30.37,0.0,0.0,0.0
2020-05-30 01:00:00+00:00,0.0,0.0,0.0,29.57,48.89,6.88,83.8,97.99,36.39,77.34030881426284,71.83103620803274,0.0,29.57,0.0,0.0,0.0
